100 99
0 1 94
0 2 98
0 3 61
0 4 81
0 5 77
0 6 2
0 7 29
0 8 23
0 9 51
0 10 16
0 11 68
0 12 74
0 13 34
0 14 69
0 15 5
0 16 79
0 17 59
0 18 2
0 19 18
0 20 29
0 21 18
0 22 6
0 23 66
0 24 15
0 25 87
0 26 83
0 27 76
0 28 62
0 29 83
0 30 37
0 31 18
0 32 26
0 33 50
0 34 80
0 35 21
0 36 19
0 37 39
0 38 97
0 39 98
0 40 56
0 41 5
0 42 44
0 43 25
0 44 57
0 45 53
0 46 45
0 47 50
0 48 78
0 49 13
0 50 85
0 51 72
0 52 8
0 53 72
0 54 65
0 55 91
0 56 46
0 57 9
0 58 19
0 59 100
0 60 44
0 61 26
0 62 96
0 63 84
0 64 29
0 65 28
0 66 66
0 67 74
0 68 32
0 69 65
0 70 70
0 71 88
0 72 95
0 73 67
0 74 53
0 75 4
0 76 59
0 77 20
0 78 29
0 79 34
0 80 11
0 81 76
0 82 87
0 83 98
0 84 19
0 85 90
0 86 93
0 87 49
0 88 4
0 89 59
0 90 58
0 91 24
0 92 31
0 93 50
0 94 85
0 95 59
0 96 36
0 97 97
0 98 44
0 99 57
