10000 9999
0 1 74
0 2 97
0 3 13
0 4 34
0 5 32
0 6 13
0 7 46
0 8 56
0 9 73
0 10 12
0 11 22
0 12 28
0 13 29
0 14 99
0 15 43
0 16 5
0 17 66
0 18 25
0 19 100
0 20 48
0 21 38
0 22 86
0 23 33
0 24 65
0 25 31
0 26 50
0 27 27
0 28 32
0 29 87
0 30 5
0 31 39
0 32 51
0 33 22
0 34 38
0 35 55
0 36 51
0 37 72
0 38 33
0 39 76
0 40 48
0 41 88
0 42 18
0 43 84
0 44 88
0 45 95
0 46 8
0 47 44
0 48 84
0 49 66
0 50 2
0 51 18
0 52 37
0 53 18
0 54 57
0 55 8
0 56 73
0 57 54
0 58 19
0 59 1
0 60 81
0 61 96
0 62 8
0 63 25
0 64 77
0 65 3
0 66 20
0 67 5
0 68 56
0 69 37
0 70 93
0 71 69
0 72 34
0 73 48
0 74 43
0 75 22
0 76 39
0 77 49
0 78 29
0 79 8
0 80 61
0 81 40
0 82 66
0 83 28
0 84 35
0 85 36
0 86 18
0 87 56
0 88 30
0 89 40
0 90 100
0 91 84
0 92 28
0 93 33
0 94 61
0 95 18
0 96 51
0 97 10
0 98 87
0 99 61
0 100 92
0 101 14
0 102 8
0 103 6
0 104 98
0 105 12
0 106 61
0 107 39
0 108 83
0 109 20
0 110 15
0 111 33
0 112 86
0 113 35
0 114 25
0 115 96
0 116 89
0 117 65
0 118 100
0 119 54
0 120 22
0 121 12
0 122 65
0 123 81
0 124 81
0 125 16
0 126 29
0 127 32
0 128 66
0 129 18
0 130 95
0 131 76
0 132 31
0 133 22
0 134 2
0 135 94
0 136 48
0 137 57
0 138 5
0 139 5
0 140 87
0 141 89
0 142 94
0 143 18
0 144 85
0 145 95
0 146 71
0 147 88
0 148 13
0 149 35
0 150 8
0 151 81
0 152 94
0 153 66
0 154 61
0 155 44
0 156 17
0 157 30
0 158 7
0 159 25
0 160 54
0 161 8
0 162 60
0 163 94
0 164 1
0 165 63
0 166 100
0 167 21
0 168 99
0 169 54
0 170 11
0 171 82
0 172 59
0 173 98
0 174 100
0 175 8
0 176 38
0 177 97
0 178 24
0 179 32
0 180 87
0 181 35
0 182 13
0 183 61
0 184 89
0 185 63
0 186 26
0 187 24
0 188 10
0 189 72
0 190 4
0 191 64
0 192 67
0 193 39
0 194 17
0 195 43
0 196 74
0 197 56
0 198 49
0 199 95
0 200 64
0 201 60
0 202 27
0 203 3
0 204 35
0 205 96
0 206 4
0 207 2
0 208 47
0 209 45
0 210 15
0 211 2
0 212 85
0 213 21
0 214 15
0 215 55
0 216 8
0 217 51
0 218 18
0 219 31
0 220 26
0 221 24
0 222 86
0 223 61
0 224 36
0 225 68
0 226 72
0 227 62
0 228 42
0 229 97
0 230 46
0 231 12
0 232 86
0 233 6
0 234 73
0 235 76
0 236 75
0 237 8
0 238 99
0 239 80
0 240 13
0 241 94
0 242 22
0 243 68
0 244 20
0 245 42
0 246 87
0 247 57
0 248 51
0 249 93
0 250 27
0 251 43
0 252 92
0 253 52
0 254 96
0 255 17
0 256 38
0 257 78
0 258 15
0 259 45
0 260 22
0 261 41
0 262 6
0 263 17
0 264 46
0 265 45
0 266 5
0 267 84
0 268 27
0 269 92
0 270 27
0 271 94
0 272 63
0 273 21
0 274 63
0 275 15
0 276 49
0 277 88
0 278 60
0 279 41
0 280 25
0 281 30
0 282 91
0 283 5
0 284 76
0 285 10
0 286 55
0 287 3
0 288 16
0 289 91
0 290 76
0 291 22
0 292 76
0 293 78
0 294 9
0 295 41
0 296 48
0 297 4
0 298 47
0 299 17
0 300 32
0 301 30
0 302 51
0 303 77
0 304 67
0 305 49
0 306 63
0 307 83
0 308 39
0 309 33
0 310 15
0 311 83
0 312 20
0 313 89
0 314 7
0 315 45
0 316 18
0 317 32
0 318 54
0 319 3
0 320 19
0 321 39
0 322 41
0 323 29
0 324 78
0 325 7
0 326 52
0 327 33
0 328 51
0 329 36
0 330 70
0 331 53
0 332 1
0 333 52
0 334 32
0 335 3
0 336 18
0 337 59
0 338 75
0 339 24
0 340 54
0 341 63
0 342 27
0 343 5
0 344 13
0 345 27
0 346 79
0 347 18
0 348 78
0 349 36
0 350 78
0 351 70
0 352 11
0 353 83
0 354 51
0 355 100
0 356 95
0 357 16
0 358 34
0 359 8
0 360 96
0 361 37
0 362 84
0 363 5
0 364 50
0 365 36
0 366 5
0 367 3
0 368 92
0 369 30
0 370 81
0 371 30
0 372 66
0 373 7
0 374 68
0 375 49
0 376 59
0 377 83
0 378 63
0 379 85
0 380 25
0 381 92
0 382 77
0 383 59
0 384 15
0 385 19
0 386 30
0 387 41
0 388 91
0 389 65
0 390 48
0 391 62
0 392 31
0 393 6
0 394 83
0 395 80
0 396 39
0 397 53
0 398 39
0 399 82
0 400 84
0 401 71
0 402 30
0 403 72
0 404 3
0 405 86
0 406 11
0 407 66
0 408 8
0 409 98
0 410 67
0 411 42
0 412 30
0 413 79
0 414 50
0 415 50
0 416 56
0 417 6
0 418 82
0 419 45
0 420 75
0 421 14
0 422 33
0 423 31
0 424 11
0 425 71
0 426 53
0 427 8
0 428 68
0 429 34
0 430 61
0 431 74
0 432 67
0 433 93
0 434 66
0 435 79
0 436 97
0 437 66
0 438 39
0 439 76
0 440 8
0 441 55
0 442 75
0 443 53
0 444 28
0 445 40
0 446 82
0 447 87
0 448 38
0 449 20
0 450 19
0 451 24
0 452 65
0 453 71
0 454 57
0 455 67
0 456 13
0 457 61
0 458 32
0 459 19
0 460 41
0 461 77
0 462 72
0 463 58
0 464 69
0 465 97
0 466 57
0 467 55
0 468 21
0 469 1
0 470 49
0 471 4
0 472 81
0 473 35
0 474 43
0 475 90
0 476 77
0 477 77
0 478 16
0 479 47
0 480 89
0 481 14
0 482 13
0 483 34
0 484 31
0 485 8
0 486 5
0 487 35
0 488 81
0 489 92
0 490 77
0 491 50
0 492 35
0 493 33
0 494 6
0 495 14
0 496 85
0 497 34
0 498 79
0 499 91
0 500 50
0 501 6
0 502 36
0 503 85
0 504 85
0 505 41
0 506 6
0 507 4
0 508 56
0 509 57
0 510 97
0 511 49
0 512 76
0 513 84
0 514 24
0 515 83
0 516 16
0 517 17
0 518 44
0 519 90
0 520 22
0 521 91
0 522 48
0 523 53
0 524 21
0 525 29
0 526 42
0 527 95
0 528 60
0 529 5
0 530 83
0 531 85
0 532 87
0 533 24
0 534 93
0 535 47
0 536 56
0 537 42
0 538 22
0 539 73
0 540 54
0 541 83
0 542 16
0 543 73
0 544 79
0 545 25
0 546 7
0 547 50
0 548 91
0 549 39
0 550 95
0 551 57
0 552 29
0 553 99
0 554 81
0 555 68
0 556 46
0 557 19
0 558 69
0 559 51
0 560 37
0 561 49
0 562 19
0 563 83
0 564 14
0 565 37
0 566 2
0 567 7
0 568 32
0 569 74
0 570 13
0 571 14
0 572 73
0 573 49
0 574 33
0 575 23
0 576 20
0 577 86
0 578 88
0 579 68
0 580 23
0 581 12
0 582 21
0 583 18
0 584 30
0 585 7
0 586 84
0 587 54
0 588 40
0 589 22
0 590 81
0 591 41
0 592 45
0 593 67
0 594 1
0 595 82
0 596 83
0 597 4
0 598 6
0 599 44
0 600 47
0 601 67
0 602 97
0 603 94
0 604 55
0 605 10
0 606 85
0 607 64
0 608 5
0 609 26
0 610 26
0 611 9
0 612 81
0 613 57
0 614 99
0 615 63
0 616 80
0 617 64
0 618 89
0 619 4
0 620 7
0 621 42
0 622 46
0 623 86
0 624 4
0 625 19
0 626 79
0 627 65
0 628 44
0 629 56
0 630 90
0 631 46
0 632 29
0 633 4
0 634 72
0 635 88
0 636 34
0 637 66
0 638 79
0 639 31
0 640 90
0 641 26
0 642 36
0 643 64
0 644 82
0 645 38
0 646 75
0 647 52
0 648 60
0 649 25
0 650 100
0 651 90
0 652 37
0 653 19
0 654 91
0 655 12
0 656 42
