100 99
0 1 18
0 99 17
99 98 38
99 97 22
97 96 19
97 95 20
95 94 69
95 93 78
93 92 2
93 91 48
91 90 6
91 89 56
89 88 43
89 87 16
87 86 38
87 85 79
85 84 53
85 83 36
83 82 73
83 81 80
81 80 47
81 79 31
79 78 62
79 77 79
77 76 3
77 75 36
75 74 97
75 73 91
73 72 100
73 71 6
71 70 96
71 69 37
69 68 5
69 67 24
67 66 58
67 65 8
65 64 64
65 63 85
63 62 43
63 61 99
61 60 51
61 59 60
59 58 93
59 57 11
57 56 6
57 55 82
55 54 22
55 53 43
53 52 91
53 51 8
51 50 42
51 49 96
49 48 13
49 47 8
47 46 43
47 45 78
45 44 98
45 43 24
43 42 71
43 41 8
41 40 14
41 39 44
39 38 36
39 37 7
37 36 10
37 35 56
35 34 90
35 33 85
33 32 76
33 31 91
31 30 55
31 29 43
29 28 13
29 27 5
27 26 4
27 25 63
25 24 61
25 23 6
23 22 11
23 21 6
21 20 44
21 19 23
19 18 51
19 17 11
17 16 55
17 15 69
15 14 11
15 13 93
13 12 31
13 11 86
11 10 97
11 9 44
9 8 34
9 7 35
7 6 8
7 5 81
5 4 100
5 3 99
3 2 42
